Date,Venue,Group,Participants,Volunteers,"CO2 (kg)","Weight (kg)",Fixed,Repairable,Dead,"Hours Volunteered"
20/04/2019,"De Pastory en Buurtwerk Dampoort",,0,1,0,0,0,0,0,12
20/04/2019,"Newlands Activity Centre",,0,1,0,0,0,0,0,12
18/04/2019,"Open Huis Oude Bareel",,0,1,0,0,0,0,0,12
16/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
15/04/2019,"Rossall Tavern, Fleetwood",,9,6,328.33,11.41,2,0,0,27
14/04/2019,"Reading Hackspace rLab",,0,8,382.63,33.6,3,0,1,33
14/04/2019,"The Welsh Mill",,0,1,0,0,0,0,0,12
14/04/2019,"Fabbrica del Vapore",,0,1,0,0,0,0,0,12
14/04/2019,Balen,,0,1,0,0,0,0,0,12
14/04/2019,"STPLN Sunday Repair (REFER)",,12,5,407.73,33.4,3,1,1,24
14/04/2019,"The Hong Kong University of Science and Technology",,0,1,0,0,0,0,0,12
13/04/2019,"Limerick FABLAB",,0,1,111.81,22.5,3,7,2,12
13/04/2019,"The Church Centre",,0,1,0,0,0,0,0,12
13/04/2019,"RCR @ Hostel H",,38,16,275.01,49.89,18,14,3,57
13/04/2019,"Gildenhuis, Peutie",,13,10,15.8,5.4,2,0,2,39
13/04/2019,"Monkey Park",,22,10,210.27,37.35,14,6,7,39
11/04/2019,"Stenkrossen Lund (REFER)",,6,5,165.93,6,4,1,0,24
11/04/2019,"Fablab Torino",,0,1,0,0,0,0,0,12
11/04/2019,"Réparothon Jeunesse au Collège Dawson",,0,1,0,0,0,0,0,12
10/04/2019,"De Ruimtevaart",,0,1,0,0,0,0,0,12
09/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
07/04/2019,"STPLN Sunday Repair",,6,4,203.81,13.56,4,2,1,21
06/04/2019,"Lausanne - Maison de Quartier Sous-Gare",,30,11,0,0,0,0,0,42
06/04/2019,"Spullenbib Leuven",,0,1,0,0,0,0,0,12
06/04/2019,THINQTANQ,,0,1,225.49,11.93,11,2,0,12
06/04/2019,"Sherwood Methodist Church",,43,12,113.61,17.98,14,11,14,45
06/04/2019,"Bridge Street Church (Central Leeds)",,12,1,126.39,12.51,6,0,0,12
06/04/2019,"Freemantle, Southampton",,0,1,0,0,0,0,0,12
06/04/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
04/04/2019,"Belsize Community Library",,10,9,360.69,14.98,5,6,1,36
04/04/2019,Landen,,0,1,0,0,0,0,0,12
03/04/2019,"Buurtwerk Watersportbaan-Ekkergem",,0,2,0,0,0,0,0,15
02/04/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
31/03/2019,"The Hong Kong University of Science and Technology",,10,2,71.64,0.56,4,6,0,15
31/03/2019,"STPLN Sunday Repair",,2,3,142.13,10.6,1,1,0,18
30/03/2019,"Rosie Restart Party",,13,5,13.79,2.64,4,2,3,24
26/03/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
24/03/2019,"Stamford Hill Library",,28,7,616.23,29.71,12,16,5,30
24/03/2019,"STPLN Sunday Repair",,0,3,20.4,3.7,2,2,0,18
24/03/2019,Landen,,0,1,0,0,0,0,0,12
24/03/2019,Landen,,15,8,15.61,3.54,2,0,1,33
23/03/2019,"Sportzaal Ymeria, Wijgmaal",,0,1,133.84,16.85,6,4,5,12
23/03/2019,"University of Limerick",,8,1,87.64,1.56,5,3,2,12
23/03/2019,"RePair at REfUSE Cafe",,0,2,0,0,0,0,0,15
23/03/2019,"Biblioteca in Lambrate",,55,6,517.46,46.53,25,6,9,27
23/03/2019,"Nieuw Gent",,25,12,520.61,55.27,10,4,7,45
23/03/2019,"Remake - Marknad och temadag på Mitt Möllan (REFER)",,35,6,84.56,13.99,4,2,0,27
22/03/2019,"Réparothon à l'école Saint-Fabien",,0,3,0,0,0,0,0,18
21/03/2019,"Engim Artigianelli",,5,3,66.38,1.51,2,0,0,18
21/03/2019,"VMA, Hringteigur",,10,4,163.23,22.22,5,6,3,21
20/03/2019,Newlands,,2,3,7.5,1.27,1,1,1,18
19/03/2019,"Leicester Hackspace",,0,1,0,0,0,0,0,12
17/03/2019,"De Repair Marathon van Leuven",,0,3,299.15,9.72,4,3,1,18
17/03/2019,"Coley Park Community Centre",,0,2,0,0,0,1,0,15
17/03/2019,"The Hong Kong University of Science and Technology",,17,3,349.83,5.48,8,6,3,18
17/03/2019,"STPLN Sunday Repair",,11,2,23,2.35,1,1,0,15
17/03/2019,"Repair Café Haacht - Tildonk",,0,1,20.5,7.78,1,0,0,12
16/03/2019,"Buckland United Reformed Church",,48,10,250.02,25.97,13,10,4,39
16/03/2019,"Restart Party at Abbey Community Centre",,25,10,308.13,33.46,10,8,7,39
16/03/2019,"Crediton Methodist Church",,41,18,0,0,0,0,0,63
16/03/2019,"Setmana del Consum Responsable",,0,1,0,0,0,0,0,12
16/03/2019,"St Denys Community Centre",,0,1,0,0,0,0,0,12
16/03/2019,"Ixelles (Formation Analyse des composants électroniques)",,0,2,161.4,2.76,1,0,0,15
15/03/2019,"Big Bang STEM Fair Day One",,0,1,0,0,0,0,0,12
14/03/2019,"Fablab Torino",,1,7,0,0,0,3,0,30
13/03/2019,Buurtloods,,0,1,0,0,0,0,0,12
13/03/2019,"Réparothon Jeunesse au HEC",,0,3,0,0,0,0,0,18
10/03/2019,"Crystal Palace Library of Things",,30,8,150.78,22.75,10,11,9,33
10/03/2019,"STPLN Sunday Repair (REFER)",,11,5,36.91,1.83,4,1,0,24
10/03/2019,"Parrocchia Sacro Cuore",,0,1,0,0,0,0,0,12
09/03/2019,"Monkey Park",,21,11,192.81,27.76,6,4,4,42
09/03/2019,"The Church Centre",,0,1,0,0,0,0,0,12
09/03/2019,"RCR @ Hostel H",,36,18,389.71,13.64,16,10,6,63
09/03/2019,"Jeugdhuis Far",,35,13,140.37,33.16,9,0,3,48
07/03/2019,"Fixatill Lund (REFER Project event)",,25,8,229.5,27.05,7,7,1,33
07/03/2019,"Taula de l'Eix Pere IV - Ca l'Isidret",,0,1,0,0,0,0,0,12
06/03/2019,"Réparothon Jeunesse au Collège Bois-de-Boulogne",,0,2,0,0,0,0,0,15
05/03/2019,"Leicester Hackspace",,0,2,7.9,2.7,1,2,0,15
03/03/2019,"East Oxford Community Centre",,0,1,0,0,0,0,0,12
03/03/2019,"The Hong Kong University of Science and Technology",,23,3,215.28,3.27,2,19,2,18
03/03/2019,"STPLN Sunday Repair",,3,6,145.12,3.26,2,1,0,27
03/03/2019,"Newlands Activity Centre",,2,5,319.05,27.42,2,1,0,24
02/03/2019,"Bridge Street Church (Central Leeds)",,12,2,103.88,23.93,8,5,0,15
02/03/2019,"Freemantle United Reformed Church",,19,7,108.22,30.74,9,2,6,30
02/03/2019,"Buurtwerk Rabot",,0,1,0,0,0,0,0,12
02/03/2019,"South London Maker Festival",,0,5,0,0,0,0,0,24
02/03/2019,"TTF Cafe Collective",,0,1,0,0,0,0,0,12
02/03/2019,"All Saints Church Hall",,0,1,130.24,16.88,9,2,3,12
02/03/2019,"Berkeley Public Library",,0,1,0,0,0,0,0,12
26/02/2019,"Eskmouth Scout Hall",,10,7,32,2,1,1,0,30
26/02/2019,"Mobile Social Congress",,0,1,0,0,0,0,0,12
24/02/2019,"STPLN Sunday Repair",,3,3,68.05,13.74,2,1,0,18
23/02/2019,"Limerick FabLAB",,0,1,92.88,11.88,4,8,0,12
23/02/2019,"Hub 67 - Hackney Wick",,35,12,511.44,64.89,18,15,2,45
23/02/2019,"The Atkins Building",,0,2,0,0,0,0,0,15
22/02/2019,"Lokaal dienstencentrum De Waterspiegel",,33,1,1203.95,118.89,15,0,1,12
21/02/2019,"Réparothon Jeunesse au Collège Ville-Marie",,0,3,0,0,0,0,0,18
21/02/2019,"VMA, Hringteigur",,9,3,253.41,15.03,3,3,2,18
20/02/2019,"Open huis Robinia",,43,1,730.88,114.37,16,4,1,12
20/02/2019,"Lokaal dienstencentrum Wibier",,37,1,923.8,97.77,23,2,2,12
17/02/2019,"Reading Hackspace rLab",,25,9,418.23,25.08,13,1,12,36
17/02/2019,"STPLN Sunday Repair",,4,5,61.15,11.3,2,1,1,24
17/02/2019,"Repair Café Drongen",,45,13,271.89,36.78,9,5,8,48
16/02/2019,"Buckland United Reformed Church",,60,9,414.44,55.04,21,10,2,36
16/02/2019,"Kinning Park Complex",,20,10,38.33,6.7,8,3,2,39
16/02/2019,"Bedpop Repair Shop",,30,5,1149.5,72.97,19,8,8,24
14/02/2019,"De ruimtevaart",,30,7,138.11,10.41,7,6,5,30
10/02/2019,"STPLN Sunday Repair",,5,5,129.13,2.26,1,3,3,24
09/02/2019,"Townhill Park Community Centre",,0,1,0,0,0,0,0,12
09/02/2019,"Monkey Park",,29,8,713.42,69.36,15,4,8,33
09/02/2019,"The Church Centre",,49,8,415.31,62.97,20,7,9,33
09/02/2019,"LDC Kassei",,21,9,46.66,15.53,5,1,7,36
07/02/2019,"Fixatill Lund (REFER Project event)",,16,5,10.21,3.4,2,6,0,24
05/02/2019,"Réparothon Jeunesse au Collège Montmorency",,0,4,0,0,0,0,0,21
03/02/2019,"STPLN Sunday Repair",,3,4,17.34,3.89,2,1,1,21
02/02/2019,"Limerick FABLAB",,10,4,185.12,3.56,5,8,2,21
02/02/2019,"Sherwood Methodist Church, Nottingham",,33,8,232.93,32.06,17,12,4,33
